,number,work,volume,page,panel,metaphor,type1,type2,type3,,,,,
Sample_192,1389,March comes in Like a Lion (Sangatsu no Lion),18,81,1,included,a,,,,,,,
Sample_193,1390,March comes in Like a Lion (Sangatsu no Lion),18,84,1,included,d,,,,,,,
Sample_194,1391,March comes in Like a Lion (Sangatsu no Lion),18,97,3,included,b,,,,,,,
Sample_195,1392,March comes in Like a Lion (Sangatsu no Lion),18,98,"1,3,4",included,b,,,,,,,
Sample_196,1393,March comes in Like a Lion (Sangatsu no Lion),18,99,"2,4,5",included,c,d,,,,,,
Sample_197,1396,March comes in Like a Lion (Sangatsu no Lion),18,108,"1,2",included,d,,,,,,,
Sample_198,1397,March comes in Like a Lion (Sangatsu no Lion),18,110,5,included,d,,,,,,,
Sample_199,1398,March comes in Like a Lion (Sangatsu no Lion),18,111,1,included,d,,,,,,,
Sample_200,1400,March comes in Like a Lion (Sangatsu no Lion),18,119,"1,2",included,d,,,,,,,
Sample_201,1401,March comes in Like a Lion (Sangatsu no Lion),18,120,"1,2",included,d,,,,,,,
Sample_202,1402,March comes in Like a Lion (Sangatsu no Lion),18,122,"3,4",included,b,d,,,,,,
Sample_203,1403,March comes in Like a Lion (Sangatsu no Lion),18,129,1,included,d,,,,,,,
Sample_204,1404,March comes in Like a Lion (Sangatsu no Lion),18,132,"1,2",included,d,,,,,,,
Sample_205,1405,March comes in Like a Lion (Sangatsu no Lion),18,136,1,included,b,,,,,,,
Sample_206,1406,March comes in Like a Lion (Sangatsu no Lion),18,137,"1,2",included,d,,,,,,,
Sample_207,1407,March comes in Like a Lion (Sangatsu no Lion),18,138,1,included,d,,,,,,,
Sample_208,1408,March comes in Like a Lion (Sangatsu no Lion),18,139,1,included,d,,,,,,,
Sample_209,1409,March comes in Like a Lion (Sangatsu no Lion),18,140,1,included,d,,,,,,,
Sample_210,1410,March comes in Like a Lion (Sangatsu no Lion),18,141,1,included,d,,,,,,,
Sample_211,1411,March comes in Like a Lion (Sangatsu no Lion),18,145,"2,3,4",included,d,,,,,,,
Sample_212,1412,March comes in Like a Lion (Sangatsu no Lion),18,146,1,included,d,,,,,,,
Sample_213,1414,March comes in Like a Lion (Sangatsu no Lion),18,151,2,included,d,,,,,,,
Sample_214,1415,March comes in Like a Lion (Sangatsu no Lion),18,158,"1,2,3,4",included,d,,,,,,,
Sample_215,2723,blue Giant,3,137,5,included,b,,,,,,,
Sample_216,2724,blue Giant,3,138,1,included,a,,,,,,,
Sample_217,2725,blue Giant,3,169,9,included,d,,,,,,,
Sample_218,2726,blue Giant,4,17,2,included,d,,,,,,,
Sample_219,2727,blue Giant,4,"38,39","2,3,4,5,6,7",included,d,,,,,,,
Sample_220,2728,blue Giant,4,40,1,included,c,,,,,,,
